6029,1
6064,1
6086,1
6112,1
6115,1
6122,1
6131,1
6151,2
6157,1
6167,1
6172,1
6176,1
6180,1
6182,1
6192,3
6195,2
6198,3
6199,1
6202,4
6205,1
6208,1
6211,1
6214,1
6217,1
6221,3
6224,2
6227,1
6230,3
6233,1
6236,1
6237,3
6243,1
6246,1
6247,2
6249,2
6250,1
6253,3
6256,2
6259,1
6260,2
6263,1
6265,2
6269,1
6272,1
6275,3
6278,3
6279,1
6284,1
6285,5
6288,3
6291,4
6294,4
6298,1
6300,2
6301,2
6304,4
6307,6
6308,2
6310,2
6311,1
6313,4
6314,2
6317,5
6320,6
6323,1
6324,1
6326,1
6327,2
6329,2
6330,5
6333,3
6336,6
6339,3
6340,1
6342,4
6343,2
6345,1
6346,1
6348,1
6349,3
6352,4
6355,5
6356,2
6358,5
6359,2
6361,3
6362,2
6364,6
6365,3
6368,2
6371,2
6372,1
6374,5
6375,4
6377,4
6378,2
6381,5
6384,3
6387,6
6388,3
6390,7
6391,2
6393,7
6394,5
6396,2
6397,3
6400,8
6403,4
6404,3
6406,3
6407,2
6409,4
6410,6
6413,9
6416,13
6419,7
6420,2
6422,4
6423,3
6425,1
6426,1
6428,6
6429,11
6432,15
6435,8
6438,4
6439,3
6441,5
6442,5
6444,1
6445,13
6448,11
6451,6
6452,4
6454,4
6455,4
6457,6
6458,7
6460,2
6461,7
6464,10
6467,8
6468,1
6470,10
6471,3
6473,10
6474,11
6476,4
6477,12
6480,18
6483,13
6484,1
6486,14
6487,8
6489,4
6490,10
6492,2
6493,14
6496,11
6499,8
6500,2
6502,6
6503,7
6505,7
6506,8
6508,2
6509,14
6512,12
6515,4
6516,3
6518,9
6519,8
6521,7
6522,7
6524,4
6525,11
6528,20
6531,11
6532,4
6534,8
6535,9
6537,5
6538,5
6540,6
6541,19
6544,13
6547,19
6548,8
6550,21
6551,9
6553,12
6554,9
6556,2
6557,12
6560,18
6563,12
6564,4
6566,18
6567,4
6569,12
6570,13
6572,1
6573,15
6576,27
6579,28
6580,4
6582,15
6583,13
6585,8
6586,11
6588,3
6589,13
6592,21
6595,20
6596,6
6598,11
6599,11
6601,9
6602,9
6604,8
6605,15
6608,30
6611,25
6612,2
6614,23
6615,13
6617,11
6618,18
6620,1
6621,32
6624,19
6627,26
6628,8
6630,17
6631,12
6633,14
6634,19
6636,5
6637,25
6640,35
6643,22
6644,7
6646,16
6647,11
6649,12
6650,17
6652,6
6653,23
6656,32
6659,31
6660,7
6662,17
6663,11
6665,19
6666,16
6668,9
6669,28
6672,30
6675,31
6676,7
6678,17
6679,17
6681,21
6682,24
6684,2
6685,25
6688,34
6691,39
6692,7
6694,26
6695,20
6697,15
6698,35
6700,11
6701,35
6704,43
6707,38
6708,6
6710,24
6711,17
6713,22
6714,24
6716,11
6717,38
6720,39
6723,37
6724,5
6726,34
6727,19
6729,23
6730,30
6732,9
6733,41
6736,56
6739,46
6740,8
6742,38
6743,20
6745,22
6746,36
6748,6
6749,36
6752,52
6755,51
6756,12
6758,41
